id,name,province,sector,violations,last_inspection,zone,open_complaints
EST-001,Abu Hassan Shawarma,North Lebanon,Restaurant,6,12/12/2025,RED,3
EST-002,Abu Khalil Butcher,Beirut,Butchery,9,1/16/2026,RED,6
EST-003,Achrafieh Bistro,Beirut,Restaurant,1,3/28/2026,YELLOW,0
EST-004,Achrafieh Kaak Cart,Beirut,Sweets & Bakery,8,2/1/2026,RED,6
EST-005,Achrafieh Oven,Beirut,Sweets & Bakery,3,1/9/2026,YELLOW,2
EST-006,Al Arz Station Zahle,Bekaa,Petrol Station,1,1/23/2026,YELLOW,1
EST-007,Al Bustan Hotel,Beirut,Hotel & Resort,0,4/13/2026,GREEN,0
EST-008,Al Falamanki,South Lebanon,Restaurant,0,5/10/2026,GREEN,0
EST-009,Al Forn,Beirut,Sweets & Bakery,6,1/15/2026,RED,2
EST-010,Al Jabal Meat,Mount Lebanon,Butchery,2,3/6/2026,YELLOW,2
EST-011,Al Nour Pharmacy,South Lebanon,Pharmacy,0,4/27/2026,GREEN,0
EST-012,Al Rabih Supermarket,Beirut,Supermarket,0,5/26/2026,GREEN,0
EST-013,Al Reef Butchery,North Lebanon,Butchery,0,4/22/2026,GREEN,0
EST-014,Al Salam Market,South Lebanon,Supermarket,1,3/31/2026,YELLOW,2
EST-015,Al Shifa Pharmacy,Beirut,Pharmacy,6,7/4/2025,RED,2
EST-016,Aqua Park Lebanon,Beirut,Swimming Pool & Water Park,6,8/29/2025,RED,5
EST-017,Babel,South Lebanon,Restaurant,6,8/20/2025,RED,3
EST-018,Barbar,Beirut,Sweets & Bakery,0,4/20/2026,GREEN,0
EST-019,Baron Restaurant,Beirut,Restaurant,3,3/8/2026,YELLOW,2
EST-020,Beauty Box Jounieh,Mount Lebanon,Cosmetics & Beauty,7,6/16/2025,RED,4
EST-021,Beirut Event Catering Co,Beirut,Catering & Delivery,3,1/11/2026,YELLOW,0
EST-022,Blue Beach,Mount Lebanon,Beach Resort,0,5/28/2026,GREEN,0
EST-023,BouKhalil,Beirut,Retail & Services,6,12/1/2025,RED,5
EST-024,Bourj Hammoud Market Point,Beirut,Supermarket,8,12/15/2025,RED,4
EST-025,Bro Eatery,North Lebanon,Restaurant,3,3/21/2026,YELLOW,1
EST-026,Byblos Fresh Market,Mount Lebanon,Supermarket,5,9/23/2025,RED,6
EST-027,Byblos Harbor Restaurant,Mount Lebanon,Restaurant,8,6/23/2025,RED,5
